ID,Player,Age,Variant,Numbered,Autograph,Relic,Grading Company,Grade,Number,Set,Comments,Loc,Photo?,Photo taken ?,Photo reference,Added to Collection?,Photo added to Collection?,Search term,Exclude from ebayCollectionUpdater
1440,Aaron Connolly,23,Orange,/25,,,,,180,2020-21 Panini Prizm Premier League,,A3,N,,,Y,,Aaron Connolly #180 Orange /25 2020-21 Panini Prizm Premier League,
1441,Ivan Toney,27,Green,,,,,,150,2021-22 Panini Prizm Premier League,,A3,N,,,Y,,Ivan Toney #150 Green 2021-22 Panini Prizm Premier League,
1442,Weston Mckennie,25,Prophecy Fulfilled,,,,,,PF-14,2021-22 Topps Merlin Chrome UEFA Champions League,,A4,N,,,Y,,Weston Mckennie #PF-14 Prophecy Fulfilled 2021-22 Topps Merlin Chrome UEFA Champions League,
1443,Didier Drogba,45,Base,,,,,,148,2022 Topps Merlin Heritage 97,,A4,N,,,Y,,Didier Drogba #148 2022 Topps Merlin Heritage 97,
1444,Joelinton,27,Teal,/49,,,,,45,2021-22 Panini Prizm Premier League,,A4,Y,,,Y,,Joelinton #45 Teal /49 2021-22 Panini Prizm Premier League,
1445,Bukayo Saka,22,Blue,/99,,,,,103,2021-22 Panini Chronicles Soccer,,A4,N,,,Y,,Bukayo Saka #103 Blue /99 2021-22 Panini Chronicles Soccer,
1446,Declan Rice,24,Rookie Ticket,,,,,,RT-28,2019-20 Panini Chronicles Soccer,,A4,N,,,Y,,Declan Rice #RT-28 Rookie Ticket 2019-20 Panini Chronicles Soccer,
1447,John Stones,29,Autograph,,Y,,,,29A-A,2018-19 Topps On Demand Premier League,,A4,Y,Y,75,Y,Y,John Stones #29A-A Autograph Autograph 2018-19 Topps On Demand Premier League,
1448,Lionel Messi,36,Base,/22081,,,,,118,2022 Panini Instant Fifa World Cup,,A4,Y,Y,76,Y,Y,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,
1449,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1450,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1451,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1452,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1453,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1454,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1455,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1456,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1457,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1458,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1459,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1460,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1461,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1462,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1463,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1464,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1465,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1466,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1467,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1468,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1469,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1470,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1471,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1472,Lionel Messi,36,Base,/22081,,,,,,2022 Panini Instant Fifa World Cup,,A4,N,,,Y,,Lionel Messi # /22081 2022 Panini Instant Fifa World Cup,
1473,Ibrahima Konate,24,Base,,,,,,233,2021-22 Panini Chronicles Soccer,,A5,N,,,Y,,Ibrahima Konate #233 2021-22 Panini Chronicles Soccer,
1474,Lionel Messi,36,Base,/299,,Y,,,21,2020-21 Panini Chronicles Soccer,,A6,Y,Y,78,Y,Y,Lionel Messi #21 /299 Patch 2020-21 Panini Chronicles Soccer,
1475,Kylian Mbappe,24,Base,,,,,,51,2020 Panini Select UEFA Euro,,A6,N,,,Y,,Kylian Mbappe #51 2020 Panini Select UEFA Euro,
1476,Cristiano Ronaldo,38,Base,,,,,,169,2006 Panini World Cup Soccer,,A7,Y,Y,,Y,,Cristiano Ronaldo #169 2006 Panini World Cup Soccer,
1477,Lionel Messi,36,Base,,,,,,47,2006 Panini World Cup Soccer,,A7,Y,Y,,Y,,Lionel Messi #47 2006 Panini World Cup Soccer,
1478,Rafael Marquez,44,Base,,,,,,140,2010 Panini Premium World Cup,,A7,N,,,Y,,Rafael Marquez #140 2010 Panini Premium World Cup,
1479,Humberto Suazo,42,Base,,,,,,64,2010 Panini Premium World Cup,,A7,N,,,Y,,Humberto Suazo #64 2010 Panini Premium World Cup,
1480,Landon Donovan,41,Base,,,,,,185,2010 Panini Premium World Cup,,A7,N,,,Y,,Landon Donovan #185 2010 Panini Premium World Cup,
1481,Milos Krasic,39,Base,,,,,,174,2010 Panini Premium World Cup,,A7,N,,,Y,,Milos Krasic #174 2010 Panini Premium World Cup,
1482,Durban Stadium,#N/A,Base,,,,,,188,2010 Panini Premium World Cup,,A7,N,,,Y,,Durban Stadium #188 2010 Panini Premium World Cup,
1483,Loftus Versfeld Stadium,#N/A,Base,,,,,,196,2010 Panini Premium World Cup,,A7,N,,,Y,,Loftus Versfeld Stadium #196 2010 Panini Premium World Cup,
1484,Free State Stadium,#N/A,Base,,,,,,191,2010 Panini Premium World Cup,,A7,N,,,Y,,Free State Stadium #191 2010 Panini Premium World Cup,
1485,Benni McCarthy,46,Base,,,,,,170,2010 Panini Premium World Cup,,A7,N,,,Y,,Benni McCarthy #170 2010 Panini Premium World Cup,
1486,David Suazo,44,Base,,,,,,123,2010 Panini Premium World Cup,,A7,N,,,Y,,David Suazo #123 2010 Panini Premium World Cup,
1487,Nelson Valdez,39,Base,,,,,,156,2010 Panini Premium World Cup,,A7,N,,,Y,,Nelson Valdez #156 2010 Panini Premium World Cup,
1488,Benni McCarthy,46,Base,,,,,,170,2010 Panini Premium World Cup,,A7,N,,,Y,,Benni McCarthy #170 2010 Panini Premium World Cup,
1489,Peter Odemwingie,42,Base,,,,,,154,2010 Panini Premium World Cup,,A7,N,,,Y,,Peter Odemwingie #154 2010 Panini Premium World Cup,
1490,Yuji Nakazawa,45,Base,,,,,,133,2010 Panini Premium World Cup,,A7,N,,,Y,,Yuji Nakazawa #133 2010 Panini Premium World Cup,
1491,Karim Ziani,41,Base,,,,,,37,2010 Panini Premium World Cup,,A7,N,,,Y,,Karim Ziani #37 2010 Panini Premium World Cup,
1492,Georgios Karagounis,46,Base,,,,,,117,2010 Panini Premium World Cup,,A7,N,,,Y,,Georgios Karagounis #117 2010 Panini Premium World Cup,
1493,Aaron Mokoena,42,Base,,,,,,167,2010 Panini Premium World Cup,,A7,N,,,Y,,Aaron Mokoena #167 2010 Panini Premium World Cup,
1494,Carlos Bocanegra,44,Base,,,,,,181,2010 Panini Premium World Cup,,A7,N,,,Y,,Carlos Bocanegra #181 2010 Panini Premium World Cup,
1495,Tranquillo Barnetta,38,Base,,,,,,119,2010 Panini Premium World Cup,,A7,N,,,Y,,Tranquillo Barnetta #119 2010 Panini Premium World Cup,
1496,Alexander Frei,44,Base,,,,,,122,2010 Panini Premium World Cup,,A7,N,,,Y,,Alexander Frei #122 2010 Panini Premium World Cup,
1497,William Gallas,46,Base,,,,,,101,2010 Panini Premium World Cup,,A7,N,,,Y,,William Gallas #101 2010 Panini Premium World Cup,
1498,Tim Howard,44,Base,,,,,,180,2010 Panini Premium World Cup,,A7,N,,,Y,,Tim Howard #180 2010 Panini Premium World Cup,
1499,Jay Demerit,43,Base,,,,,,182,2010 Panini Premium World Cup,,A7,N,,,Y,,Jay Demerit #182 2010 Panini Premium World Cup,
1500,Daniel Agger,38,Base,,,,,,69,2010 Panini Premium World Cup,,A7,N,,,Y,,Daniel Agger #69 2010 Panini Premium World Cup,
1501,Simão,44,Base,,,,,,161,2010 Panini Premium World Cup,,A7,N,,,Y,,Simão #161 2010 Panini Premium World Cup,
1502,Jonathan Spector,37,Base,,,,,,183,2010 Panini Premium World Cup,,A7,N,,,Y,,Jonathan Spector #183 2010 Panini Premium World Cup,
1503,Jong Tae-Se,39,Base,,,,,,136,2010 Panini Premium World Cup,,A7,N,,,Y,,Jong Tae-Se #136 2010 Panini Premium World Cup,
1504,Milivoje Novaković,44,Base,,,,,,164,2010 Panini Premium World Cup,,A7,N,,,Y,,Milivoje Novaković #164 2010 Panini Premium World Cup,
1505,Ellis Park Stadium,#N/A,Base,,,,,,189,2010 Panini Premium World Cup,,A7,N,,,Y,,Ellis Park Stadium #189 2010 Panini Premium World Cup,
1506,Asamoah Gyan,37,Base,,,,,,115,2010 Panini Premium World Cup,,A7,N,,,Y,,Asamoah Gyan #115 2010 Panini Premium World Cup,
1507,Walter Samuel,45,Base,,,,,,39,2010 Panini Premium World Cup,,A7,N,,,Y,,Walter Samuel #39 2010 Panini Premium World Cup,
1508,John Obi Mikel,36,Base,,,,,,152,2010 Panini Premium World Cup,,A7,N,,,Y,,John Obi Mikel #152 2010 Panini Premium World Cup,
1509,Green Point Stadium,#N/A,Base,,,,,,187,2010 Panini Premium World Cup,,A7,N,,,Y,,Green Point Stadium #187 2010 Panini Premium World Cup,
1510,Royal Bafokeng Stadium,#N/A,Base,,,,,,195,2010 Panini Premium World Cup,,A7,N,,,Y,,Royal Bafokeng Stadium #195 2010 Panini Premium World Cup,
1511,Soccer City,#N/A,Base,,,,,,190,2010 Panini Premium World Cup,,A7,N,,,Y,,Soccer City #190 2010 Panini Premium World Cup,
1512,Nelson Mandela Bay Stadium,#N/A,Base,,,,,,192,2010 Panini Premium World Cup,,A7,N,,,Y,,Nelson Mandela Bay Stadium #192 2010 Panini Premium World Cup,
1513,Eric Abidal,44,Base,,,,,,102,2010 Panini Premium World Cup,,A7,N,,,Y,,Eric Abidal #102 2010 Panini Premium World Cup,
1514,Martin Škrtel,38,Base,,,,,,165,2010 Panini Premium World Cup,,A7,N,,,Y,,Martin Škrtel #165 2010 Panini Premium World Cup,
1515,Park Ji-Sung,42,Base,,,,,,138,2010 Panini Premium World Cup,,A7,N,,,Y,,Park Ji-Sung #138 2010 Panini Premium World Cup,
1516,João Moutinho,37,Base,,,,,,159,2010 Panini Premium World Cup,,A7,N,,,Y,,João Moutinho #159 2010 Panini Premium World Cup,
1517,Juan,45,Base,,,,,,52,2010 Panini Premium World Cup,,A7,N,,,Y,,Juan #52 2010 Panini Premium World Cup,
1518,Gabriel Heinze,45,Base,,,,,,38,2010 Panini Premium World Cup,,A7,N,,,Y,,Gabriel Heinze #38 2010 Panini Premium World Cup,
1519,Lassana Diarra,38,Base,,,,,,103,2010 Panini Premium World Cup,,A7,N,,,Y,,Lassana Diarra #103 2010 Panini Premium World Cup,
1520,Peter Mokaba Stadium,#N/A,Base,,,,,,194,2010 Panini Premium World Cup,,A7,N,,,Y,,Peter Mokaba Stadium #194 2010 Panini Premium World Cup,
1521,Declan Rice,24,Orange,/25,,,,,91,2021-22 Panini Obsidian Soccer,,A8,Y,Y,41,Y,Y,Declan Rice #91 Orange /25 2021-22 Panini Obsidian Soccer,
1522,Illan Meslier,23,Green,,,,,,196,2020-21 Panini Prizm Premier League,,A8,N,,,Y,,Illan Meslier #196 Green 2020-21 Panini Prizm Premier League,
1523,Declan Rice,24,Base,/340,,,,,237,2021-22 Panini Prizm Premier League,,A8,N,,,Y,,Declan Rice #237 /340 2021-22 Panini Prizm Premier League,
1524,Bukayo Saka,22,Brilliance,,,,,,9,2021-22 Panini Prizm Premier League,,B1,N,,,Y,,Bukayo Saka #9 Brilliance 2021-22 Panini Prizm Premier League,
1525,Jack Grealish,28,Future Star,,,,,,19,2015-16 Topps Premier Club,,B1,N,,,Y,,Jack Grealish #19 Future Star 2015-16 Topps Premier Club,
1526,Andriy Shevchenko,47,Volcanic,/149,Y,,,,VS-AS,2021-22 Panini Obsidian Soccer,,B3,Y,Y,72,Y,Y,Andriy Shevchenko #VS-AS Volcanic /149 Autograph 2021-22 Panini Obsidian Soccer,
1527,Pelé,83,World Greats,,,,,,W06,2003 Futera Platinum World Football,,B3,N,,,Y,,Pelé #W06 World Greats 2003 Futera Platinum World Football,
1528,Declan Rice,24,Redemption,,,,,,63,2021-22 Panini Prizm Premier League,,B3,N,,,Y,,Declan Rice #63 Redemption 2021-22 Panini Prizm Premier League,
1529,Matthew Hoppe,22,Cracked Ice,/23,,,,,93,2021-22 Panini Chronicles Soccer,,B4,N,,,Y,,Matthew Hoppe #93 Cracked Ice /23 2021-22 Panini Chronicles Soccer,
1530,Paul Seguin,27,Silver,/127,,Y,,,MSR-PS,2021-22 Topps Tier One Bundesliga,,B4,N,,,Y,,Paul Seguin #MSR-PS Silver /127 Patch 2021-22 Topps Tier One Bundesliga,
1531,Moussa Diaby,24,Pink,/150,Y,,,,BCA-MDI,2021-22 Topps Chrome Bundesliga,,B4,Y,Y,77,Y,Y,Moussa Diaby #BCA-MDI Pink /150 Autograph 2021-22 Topps Chrome Bundesliga,
1532,Phil Foden,23,Silver,,,Y,,,SM-PF,2022-23 Panini Prizm Premier League,,B4,Y,Y,,Y,,Phil Foden #SM-PF Silver Patch 2022-23 Panini Prizm Premier League,
1533,Phil Foden,23,Equalizers,,,,,,13,2022-23 Panini Prizm Premier League,,B4,N,,,Y,,Phil Foden #13 Equalizers 2022-23 Panini Prizm Premier League,
1534,Cole Palmer,21,Silver Autograph,/99,Y,,,,S-CPM,2022-23 Panini Prizm Premier League,,B4,Y,Y,,Y,,Cole Palmer #S-CPM Silver Autograph /99 Autograph 2022-23 Panini Prizm Premier League,
1535,Diego Maradona,63,Base,,,,,,8 (4-4),2005 Chinese Magazine,,B3,Y,Y,42,Y,Y,Diego Maradona #8 (4-4) 2005 Chinese Magazine,
1536,Kylian Mbappe,24,Corner Stones,,,,,,FC-KM,2018-19 Topps Finest UEFA Champions League,,B4,Y,Y,,Y,,Kylian Mbappe #FC-KM Corner Stones 2018-19 Topps Finest UEFA Champions League,
1537,Kylian Mbappe,24,Base,,,,,,53,2018-19 Panini Donruss Soccer,,B4,N,,,Y,,Kylian Mbappe #53 2018-19 Panini Donruss Soccer,
1538,Kylian Mbappe,24,Out of This World,,,,,,OW-9,2018-19 Panini Donruss Soccer,,B4,N,,,Y,,Kylian Mbappe #OW-9 Out of This World 2018-19 Panini Donruss Soccer,
1539,Frenkie De Jong,26,Tools of the Trade,/199,,Y,,,T-FDJ,2020-21 Panini Chronicles Soccer,,B4,Y,Y,,Y,,Frenkie De Jong #T-FDJ Tools of the Trade /199 Patch 2020-21 Panini Chronicles Soccer,
1540,Jude Bellingham,,Assist on Bundesliga Debut,,,,PSA,10,4,2020 Topps Now Bundesliga,,A,Y,Y,,Y,,Jude Bellingham #4 Assist on Bundesliga Debut PSA 10 2020 Topps Now Bundesliga,
1541,Billy Gilmour,22,Blue,/150,Y,,,,FA-BG,2020-21 Topps Finest UEFA Champions League,,B4,Y,Y,,Y,,Billy Gilmour #FA-BG Blue /150 Autograph 2020-21 Topps Finest UEFA Champions League,
1542,Jude Bellingham,20,Blue,/150,,,,,43,2021-22 Topps Bundesliga,,B4,Y,Y,,Y,,Jude Bellingham #43 Blue /150 2021-22 Topps Bundesliga,
1543,Noni Madueke,21,Base,,Y,,,,A-NO,2021-22 Topps Merlin Chrome UEFA Champions League,,B4,Y,Y,,Y,,Noni Madueke #A-NO Autograph 2021-22 Topps Merlin Chrome UEFA Champions League,
1544,Marley Ake,22,Base,,Y,,,,FA-MA,2020-21 Topps Finest UEFA Champions League,,B4,N,,,Y,,Marley Ake #FA-MA Autograph 2020-21 Topps Finest UEFA Champions League,
1545,Felix Mambimbi,21,Base,,Y,,,,CA-FM,2021-22 Topps Stadium Club Chrome,,B4,N,,,Y,,Felix Mambimbi #CA-FM Autograph 2021-22 Topps Stadium Club Chrome,
1546,Kylian Mbappe,24,Corner Stones,,,,,,FC-KM,2018-19 Topps Finest UEFA Champions League,,B4,N,,,Y,,Kylian Mbappe #FC-KM Corner Stones 2018-19 Topps Finest UEFA Champions League,
1547,Pelé,83,Base,,,,,,8 (4-1),2005 Chinese Magazine,,B3,Y,Y,43,Y,Y,Pelé #8 (4-1) 2005 Chinese Magazine,
1548,Lionel Messi,36,Historic Ticket,,,,,,HTLM,2019-20 Panini Chronicles Soccer,,B4,Y,,,Y,,Lionel Messi #HTLM Historic Ticket 2019-20 Panini Chronicles Soccer,
1549,Cristiano Ronaldo,38,Historic Ticket,,,,,,HT-CR7,2019-20 Panini Chronicles Soccer,,B4,Y,,,Y,,Cristiano Ronaldo #HT-CR7 Historic Ticket 2019-20 Panini Chronicles Soccer,
1550,Ben Chilwell,26,Base,,Y,,,,BA-BC,2021-22 Topps Finest UEFA Champions League,,B5,Y,Y,,Y,,Ben Chilwell #BA-BC Autograph 2021-22 Topps Finest UEFA Champions League,
1551,Gabriel Jesus,26,Base,,Y,,,,A-GJ,2021-22 Topps Merlin Chrome UEFA Champions League,Print lines bottom center front.,B5,N,,,Y,,Gabriel Jesus #A-GJ Autograph 2021-22 Topps Merlin Chrome UEFA Champions League,
1552,Ronaldinho,43,Base,,,,,,82,2008 Football Life,,B3,Y,Y,44,Y,Y,Ronaldinho #82 2008 Football Life,
1553,Checklist,#N/A,,,,,,,,2006 Panini World Cup Soccer,,B5,N,,,Y,,Checklist # 2006 Panini World Cup Soccer,
1554,Bruno Guimarães,26,Blue,/49,,,,,27,2022 Panini Prizm World Cup,,B5,Y,Y,,Y,,Bruno Guimarães #27 Blue /49 2022 Panini Prizm World Cup,
1555,Richarlison,26,Red,/6,Y,,,,BA-R1,2022 Leaf Vivid Autographs,,B5,N,,,Y,,Richarlison #BA-R1 Red /6 Autograph 2022 Leaf Vivid Autographs,
1556,Armel Bella-Kotchap,21,Gold,,,,,,24,2021-22 Topps Bundesliga,,B5,N,,,Y,,Armel Bella-Kotchap #24 Gold 2021-22 Topps Bundesliga,
1557,Pervis Estupiñán,25,Red,/149,,,,,238,2022-23 Panini Prizm Premier League,,B5,N,,,Y,,Pervis Estupiñán #238 Red /149 2022-23 Panini Prizm Premier League,
1558,Pervis Estupiñán,25,Blue,/175,,,,,238,2022-23 Panini Prizm Premier League,,B5,N,,,Y,,Pervis Estupiñán #238 Blue /175 2022-23 Panini Prizm Premier League,
1559,Taiwo Awoniyi,26,Gold,,,,,,16,2021-22 Topps Bundesliga,,B5,N,,,Y,,Taiwo Awoniyi #16 Gold 2021-22 Topps Bundesliga,
1560,Sergiño Dest,23,Rookie Ticket,/380,Y,,,,6,2020-21 Panini Chronicles Soccer,,B5,Y,,,Y,,Sergiño Dest #6 Rookie Ticket /380 Autograph 2020-21 Panini Chronicles Soccer,
1561,Declan Rice,24,Red,,,,,,RT-28,2019-20 Panini Chronicles Soccer,,B5,N,,,Y,,Declan Rice #RT-28 Red 2019-20 Panini Chronicles Soccer,
1562,Sven Botman,23,Base,,Y,,,,CA-SB,2021-22 Topps Stadium Club Chrome,,B5,Y,Y,,Y,,Sven Botman #CA-SB Autograph 2021-22 Topps Stadium Club Chrome,
1563,Emile Smith-Rowe,23,Silver,,Y,,,,PS-ESR,2022-23 Panini Prizm Premier League,,B5,Y,Y,,Y,,Emile Smith-Rowe #PS-ESR Silver Autograph 2022-23 Panini Prizm Premier League,
1564,Luka Modrić,38,Historic Ticket,,,,,,HT-LMO,2019-20 Panini Chronicles Soccer,,B5,Y,,,Y,,Luka Modrić #HT-LMO Historic Ticket 2019-20 Panini Chronicles Soccer,
1565,Ivan Toney,27,Base,/99,,,,,135,2021-22 Panini immaculate Soccer,,B5,Y,Y,,Y,,Ivan Toney #135 /99 2021-22 Panini immaculate Soccer,
1566,Romeo Lavia,20,Pink,/199,,,,,211,2022-23 Panini Prizm Premier League,,B5,Y,Y,,Y,,Romeo Lavia #211 Pink /199 2022-23 Panini Prizm Premier League,
1567,Malcolm Ebiowei,19,Orange,/75,,,,,143,2022-23 Panini Select Soccer,,B5,N,,,Y,,Malcolm Ebiowei #143 Orange /75 2022-23 Panini Select Soccer,
1568,Charles De Ketelaere,22,Aqua,/299,,,,,59,2021-22 Topps Chrome UEFA Champions League,,B5,N,,,Y,,Charles De Ketelaere #59 Aqua /299 2021-22 Topps Chrome UEFA Champions League,
1569,Fabio Carvalho,21,Pink,/99,,,,,198,2022-23 Panini Prizm Premier League,,B5,N,,,Y,,Fabio Carvalho #198 Pink /99 2022-23 Panini Prizm Premier League,
1570,Pablo Torre,20,Gold,/50,Y,,,,AU-PT,2022-23 Topps Chrome FC Barcelona,,B5,N,,,Y,,Pablo Torre #AU-PT Gold /50 Autograph 2022-23 Topps Chrome FC Barcelona,
1571,Bukayo Saka,22,Cracked Ice,/25,,,,,190,2022-23 Panini Select Soccer,,B5,Y,Y,,Y,,Bukayo Saka #190 Cracked Ice /25 2022-23 Panini Select Soccer,
1572,Julian Alvarez,23,Aqua,/199,,,,,198,2022-23 Panini Donruss Soccer,,B5,Y,Y,,Y,,Julian Alvarez #198 Aqua /199 2022-23 Panini Donruss Soccer,
1573,Kevin De Bruyne,32,Base,,,,,,74,2016 Topps Premier Gold,,B5,Y,Y,,Y,,Kevin De Bruyne #74 2016 Topps Premier Gold,
1574,Bruno Guimarães,26,Orange,/25,,,,,74,2022-23 Panini Select Soccer,,B5,Y,Y,,Y,,Bruno Guimarães #74 Orange /25 2022-23 Panini Select Soccer,
1575,Aurelien Tchouameni,23,Orange,/60,,,,,124,2022-23 Panini Select Soccer,,B5,Y,Y,,Y,,Aurelien Tchouameni #124 Orange /60 2022-23 Panini Select Soccer,
1576,Rafael Leao,24,Gold,/49,Y,  ,,,,2022-23 Topps Inception UEFA Club Competitions,,B5,Y,Y,,Y,,Rafael Leao # Gold /49 Autograph 2022-23 Topps Inception UEFA Club Competitions,
1577,Sandro Tonali,23,Certified Autograph Issue,/250,Y,Y,,,MAR-ST,2021-22 Topps Museum UEFA Champions League,,B5,Y,Y,,Y,,Sandro Tonali #MAR-ST Certified Autograph Issue /250 Autograph Patch 2021-22 Topps Museum UEFA Champions League,
1578,Sandro Tonali,23,Archival Autographs,/250,Y,,,,AA-ST,2021-22 Topps Museum UEFA Champions League,,B5,Y,Y,,Y,,Sandro Tonali #AA-ST Archival Autographs /250 Autograph 2021-22 Topps Museum UEFA Champions League,
1579,Eduardo Camavinga,21,Purple,/250,,,,,115,2021-22 Topps Chrome UEFA Champions League,,B5,Y,Y,,Y,,Eduardo Camavinga #115 Purple /250 2021-22 Topps Chrome UEFA Champions League,
1580,Fabio Blanco,19,Base,,Y,,,,CA-FB,2022-23 Topps Chrome UEFA Club Competitions,,B5,N,,,Y,,Fabio Blanco #CA-FB Autograph 2022-23 Topps Chrome UEFA Club Competitions,
1581,Marcus Rashford,26,Die Cut,/249,,,,,130,2017-18 Panini Select Soccer,,B6,Y,Y,,Y,,Marcus Rashford #130 Die Cut /249 2017-18 Panini Select Soccer,
1582,Ricardo Pepi,20,Purple,/299,,,,,37,2021-22 Topps Stadium Club Chrome,,B6,N,,,Y,,Ricardo Pepi #37 Purple /299 2021-22 Topps Stadium Club Chrome,
1583,Joshua Kimmich,28,Green,/99,,,,,83,2020-21 Topps Chrome UEFA Champions League,,B6,N,,,Y,,Joshua Kimmich #83 Green /99 2020-21 Topps Chrome UEFA Champions League,
1584,Jamal Musiala,20,Purple,/250,,,,,134,2021-22 Topps Bundesliga,,B6,N,,,Y,,Jamal Musiala #134 Purple /250 2021-22 Topps Bundesliga,
1585,William Saliba,22,Rated Rookie,/99,,,,,182,2022-23 Panini Donruss Soccer,,B6,Y,Y,,Y,,William Saliba #182 Rated Rookie /99 2022-23 Panini Donruss Soccer,
1586,Marcus Thuram,26,Blue,/150,,,,,75,2020-21 Topps Chrome Sapphire Bundesliga,,B6,N,,,Y,,Marcus Thuram #75 Blue /150 2020-21 Topps Chrome Sapphire Bundesliga,
1587,Marcus Thuram,26,Green,/99,,,,,,2021-22 Topps Stadium Club Chrome Bundesliga,,B6,N,,,Y,,Marcus Thuram # Green /99 2021-22 Topps Stadium Club Chrome Bundesliga,
1588,Nicolo Fagioli,22,Base,/49,,Y,,,CG-NFA,2022-23 Panini Chronicles Zenith,,B6,N,,,Y,,Nicolo Fagioli #CG-NFA /49 Patch 2022-23 Panini Chronicles Zenith,
1589,Eberechi Eze,25,Red,/99,,,,,20,2022-23 Panini Prizm Premier League,,B6,Y,Y,,Y,,Eberechi Eze #20 Red /99 2022-23 Panini Prizm Premier League,
1590,William Saliba,22,Tie Dye,/49,,,,,221,2022-23 Panini Select Soccer,,B6,Y,Y,,Y,,William Saliba #221 Tie Dye /49 2022-23 Panini Select Soccer,
1591,Matthew Hoppe,22,Green,/99,,,,,86,2020-21 Topps Finest Bundesliga,,B6,N,,,Y,,Matthew Hoppe #86 Green /99 2020-21 Topps Finest Bundesliga,
1592,Bukayo Saka,22,Blue,/99,,,,,103,2021-22 Panini Chronicles Soccer,,B6,N,,,Y,,Bukayo Saka #103 Blue /99 2021-22 Panini Chronicles Soccer,
1593,Bukayo Saka,22,Red,/99,,,,,207,2022-23 Panini Prizm Premier League,,B6,Y,Y,,Y,,Bukayo Saka #207 Red /99 2022-23 Panini Prizm Premier League,
