ID,Player,Age,Variant,Numbered,Autograph,Relic,Grading Company,Grade,Number,Set,Comments,Loc,Photo?,Photo taken ?,Photo reference,Added to Collection?,Photo added to Collection?,Search term,Exclude from ebayCollectionUpdater
1331,Phil Foden,23,Speckle,,,,,,13,2021-22 Panini Prizm Premier League,,B1,N,,,Y,,Phil Foden #13 Speckle 2021-22 Panini Prizm Premier League,
1332,Kevin De Bruyne,32,Speckle,,,,,,12,2021-22 Panini Prizm Premier League,,B1,N,,,Y,,Kevin De Bruyne #12 Speckle 2021-22 Panini Prizm Premier League,
1333,Bukayo Saka,22,Phenomenon,,,,,,9,2022 Panini Prizm World Cup,,B2,N,,,Y,,Bukayo Saka #9 Phenomenon 2022 Panini Prizm World Cup,
1334,Bukayo Saka,,Phenomenon,,,,,,9,2022 Panini Prizm World Cup,,,,,,,,,
1335,Luka Modric,,Global Reach,,,,,,19,2022 Panini Prizm World Cup,,,,,,,,,
1336,Kingsley Coman,,Scorers Club,,,,,,18,2022 Panini Prizm World Cup,,,,,,,,,
1337,Jules Kounde,,New Era,,,,,,34,2022 Panini Prizm World Cup,,,,,,,,,
1338,Pedri,20,Phenomenon,,,,,,25,2022 Panini Prizm World Cup,,B2,N,,,Y,,Pedri #25 Phenomenon 2022 Panini Prizm World Cup,
1339,Rodri,,Global Reach,,,,,,15,2022 Panini Prizm World Cup,,,,,,,,,
1340,Trent Alexander-Arnold,,Prophecy Fulfilled,,,,,,FF-4,2021-22 Topps Merlin Chrome UEFA Champions League,,,,,,,,,
1341,Marco Reus,,Starball,,,,,,178,2021-22 Topps Chrome UEFA Champions League,,,,,,,,,
1342,Amad,21,Future Stars,,,,,,FS-14,2021-22 Topps UEFA Champions League,,B3,N,,,Y,,Amad #FS-14 Future Stars 2021-22 Topps UEFA Champions League,
1343,Curtis Jones,22,Future Stars,,,,,,FS-13,2021-22 Topps UEFA Champions League,,B2,N,,,Y,,Curtis Jones #FS-13 Future Stars 2021-22 Topps UEFA Champions League,
1344,Nicolo Barella,26,Future Stars,,,,,,FS-07,2021-22 Topps UEFA Champions League,,B2,N,,,Y,,Nicolo Barella #FS-07 Future Stars 2021-22 Topps UEFA Champions League,
1345,Jamal Musiala,20,Future Stars,,,,,,FS-04,2021-22 Topps UEFA Champions League,,B2,N,,,Y,,Jamal Musiala #FS-04 Future Stars 2021-22 Topps UEFA Champions League,
1346,Federico Chiesa,26,Future Stars,,,,,,FS-03,2021-22 Topps UEFA Champions League,,B2,N,,,Y,,Federico Chiesa #FS-03 Future Stars 2021-22 Topps UEFA Champions League,
1347,Marcus Rashford,26,Green,,,,,,282,2021-22 Panini Prizm Premier League,,B1,N,,,Y,,Marcus Rashford #282 Green 2021-22 Panini Prizm Premier League,
1348,Fabio Cannavaro,,Base,,,,,,4,2006 Futera Unique,,,,,,,,,
1349,Allesandro Nesta,,Base,,,,,,15,2006 Futera Unique,,,,,,,,,
1350,Freedie Ljunberg,,Base,,,,,,49,2006 Futera Unique,,,,,,,,,
